range: 3106.92, -46890.24, 28056.92, -26890.24
total: 9
ArcDoor1: 5194.48, -36902.10, 6217.89, -35878.35
ArcDoor2: 14340.39, -37829.31, 15217.89, -36952.10
ArcDoor3: 11840.39, -37829.31, 12717.89, -36952.10
ArcDoor4: 12817.89, -35752.10, 13695.39, -34874.89
ArcDoor5: 14140.39, -35702.10, 15017.89, -34824.89
ArcDoor6: 15367.89, -37842.10, 16147.64, -37062.10
ArcDoor7: 7177.89, -38731.85, 7957.89, -37952.10
ArcDoor8: 16055.37, -37310.16, 16641.69, -36476.55
ArcDoor9: 7278.04, -39480.60, 7936.94, -38820.08
